event,message
Add User,Added a new user #
Activate User,Activated a user #
Deactivate User,Deactivated a user #
Create Project,Created a new project #
Assign Project,Assigned project # to the users
CSR Upload,Uploaded CSR Template
CSR Download,Downloaded CSR Template
Edit Project,Project # has been edited
Protocol Upload,uploaded protocol against project #
SAR Upload,uploaded SAR against project #
Upload Protocol,uploaded Protocol
Upload SAR,uploaded SAR
Custom CSR Upload,uploaded custom CSR against project #
Generate CSR,generated CSR against project #
Edit Custom CSR,edited custom CSR mapping against project #
CSR Mapping,edited global CSR mapping
Resend Email,resent an email against # for @
Clear Configurations,cleared the Global Configurations
Configurations Clear,cleared the Configurations against project #
Assign eProtocol,Assigned protocol # to the users